,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,F1_score,recall,precision,noise level
11322,TPC-DI,prospect_vertical_1_ac4_ev,Joinable,25,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['AgencyID', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country']","['prospect_AgID', 'prospect_Ph', 'prospect_NWor', 'prospect_In', 'prospect_Empl', 'prospect_CreRa', 'prospect_Ag', 'prospect_NuCreCar', 'prospect_NuCa', 'prospect_NuCh', 'prospect_MariSta', 'prospect_OwOReFl']",0.0,0.0,0.0,N4
11337,TPC-DI,prospect_vertical_70_ec_ev,Joinable,25,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['AgencyID', 'CreditRating', 'Employer', 'OwnOrRentFlag', 'AddressLine1', 'Phone', 'NetWorth', 'PostalCode', 'Income', 'MaritalStatus', 'Age', 'Country', 'Gender', 'State', 'NumberCreditCards', 'LastName', 'FirstName', 'MiddleInitial']","['AgencyID', 'NetWorth', 'Phone', 'Income', 'PostalCode', 'AddressLine1', 'AddressLine2', 'Employer', 'CreditRating', 'City', 'Age', 'State', 'Gender', 'NumberCreditCards', 'NumberChildren', 'NumberCars', 'MaritalStatus', 'OwnOrRentFlag', 'Country']",0.88,1.0,0.79,N0
11353,TPC-DI,prospect_vertical_70_ac2_ev,Joinable,25,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1]","['AgencyID', 'OwnOrRentFlag', 'LastName', 'City', 'CreditRating', 'Income', 'MiddleInitial', 'Employer', 'Phone', 'Age', 'Country', 'AddressLine1', 'NumberChildren', 'PostalCode', 'NumberCreditCards', 'FirstName', 'Gender', 'AddressLine2']","['AgID', 'LaNa', 'NeWor', 'Ph', 'Inc', 'PosC', 'AddLi1', 'Empl', 'CreRa', 'Ci', 'A', 'Sta', 'MiInit', 'NumCreCar', 'NumChi', 'MaSt', 'NuC', 'OwORFl', 'Cou']",0.62,0.53,0.73,N2
11357,TPC-DI,prospect_both_50_50_ec_ev,Joinable,25,"[1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0]","[1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0]","['AgencyID', 'Gender', 'MaritalStatus', 'AddressLine1', 'PostalCode', 'City', 'Income', 'AddressLine2', 'NetWorth', 'CreditRating', 'NumberChildren', 'LastName', 'FirstName', 'MiddleInitial', 'State', 'Country']","['AgencyID', 'Phone', 'NetWorth', 'PostalCode', 'Income', 'AddressLine1', 'AddressLine2', 'Employer', 'CreditRating', 'City', 'Age', 'Gender', 'NumberCreditCards', 'NumberChildren', 'NumberCars', 'MaritalStatus', 'OwnOrRentFlag']",0.88,1.0,0.79,N0
11359,TPC-DI,prospect_both_50_70_ac5_ev,Joinable,25,"[1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['AgencyID', 'FirstName', 'NetWorth', 'Employer', 'NumberCreditCards', 'LastName', 'AddressLine2', 'MaritalStatus', 'Gender', 'Phone', 'NumberChildren', 'Age', 'City', 'Country', 'NumberCars', 'MiddleInitial', 'AddressLine1', 'PostalCode']","['prospect_gncd', 'prospect_lstnm', 'prospect_frstnm', 'prospect_phn', 'prospect_ntwrth', 'prospect_ncm', 'prospect_ddrssln2', 'prospect_mplr', 'prospect_crdtrtng', 'prospect_ct', 'prospect_g', 'prospect_stt', 'prospect_gndr', 'prospect_nmbrcrdtcrds', 'prospect_nmbrcrs', 'prospect_nmbrchldrn', 'prospect_mrtlstts', 'prospect_wnrrntflg', 'prospect_cntr']",0.0,0.0,0.0,N5
11360,TPC-DI,prospect_vertical_70_ac4_ev,Joinable,25,"[1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]","['AgencyID', 'Gender', 'MiddleInitial', 'Employer', 'State', 'Age', 'AddressLine2', 'OwnOrRentFlag', 'Income', 'City', 'NumberCars', 'NumberCreditCards', 'NetWorth', 'MaritalStatus', 'FirstName', 'LastName', 'AddressLine1', 'PostalCode']","['prospect_AgID', 'prospect_FirN', 'prospect_NWor', 'prospect_Ph', 'prospect_In', 'prospect_AddL2', 'prospect_Emp', 'prospect_CrRat', 'prospect_Ci', 'prospect_A', 'prospect_St', 'prospect_Ge', 'prospect_MidInit', 'prospect_NumCreCar', 'prospect_NumChil', 'prospect_NuCa', 'prospect_MaSta', 'prospect_OORFl', 'prospect_Coun']",0.33,0.2,1.0,N4
11362,TPC-DI,prospect_both_50_50_ac5_ev,Joinable,25,"[1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['AgencyID', 'NetWorth', 'Age', 'AddressLine1', 'CreditRating', 'State', 'Employer', 'MaritalStatus', 'Income', 'PostalCode', 'NumberCars', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine2']","['prospect_gncd', 'prospect_phn', 'prospect_ncm', 'prospect_ntwrth', 'prospect_pstlcd', 'prospect_ddrssln1', 'prospect_mplr', 'prospect_crdtrtng', 'prospect_ct', 'prospect_g', 'prospect_stt', 'prospect_nmbrcrdtcrds', 'prospect_nmbrcrs', 'prospect_nmbrchldrn', 'prospect_mrtlstts', 'prospect_wnrrntflg', 'prospect_cntr']",0.0,0.0,0.0,N5
11364,TPC-DI,prospect_vertical_50_ac3_ev,Joinable,25,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['AgencyID', 'Country', 'NetWorth', 'AddressLine2', 'Phone', 'Employer', 'Income', 'NumberCreditCards', 'MiddleInitial', 'OwnOrRentFlag', 'FirstName', 'LastName', 'Gender', 'AddressLine1', 'PostalCode', 'City']","['gncd', 'frstnm', 'ntwrth', 'phn', 'ncm', 'ddrssln2', 'mplr', 'crdtrtng', 'g', 'stt', 'mddlntl', 'nmbrcrdtcrds', 'nmbrcrs', 'nmbrchldrn', 'mrtlstts', 'wnrrntflg', 'cntr']",0.17,0.09,1.0,N3
11366,TPC-DI,prospect_both_50_30_ac4_ev,Joinable,26,"[1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['AgencyID', 'OwnOrRentFlag', 'Employer', 'Country', 'FirstName', 'AddressLine1', 'LastName', 'MiddleInitial', 'Gender', 'AddressLine2', 'PostalCode', 'City', 'State', 'Phone']","['prospect_AgID', 'prospect_FiN', 'prospect_NeWor', 'prospect_In', 'prospect_AdLi1', 'prospect_Em', 'prospect_CrRat', 'prospect_A', 'prospect_NuCreCa', 'prospect_NuCh', 'prospect_NuCa', 'prospect_MarSt', 'prospect_OwORFl', 'prospect_Co']",0.25,0.17,0.5,N4
11367,TPC-DI,prospect_vertical_30_ac2_ev,Joinable,26,"[1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0]","[1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1]","['AgencyID', 'CreditRating', 'NumberCreditCards', 'NumberChildren', 'FirstName', 'MaritalStatus', 'LastName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State']","['AgeID', 'FiN', 'Pho', 'NWo', 'Inc', 'Empl', 'CreRat', 'A', 'NuCreCa', 'MariSta', 'NuC', 'NumChi', 'OwORF', 'Co']",0.33,0.33,0.33,N2
11368,TPC-DI,prospect_vertical_50_ac4_ev,Joinable,26,"[1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0]","['AgencyID', 'Country', 'Age', 'Gender', 'Phone', 'Employer', 'State', 'NumberCreditCards', 'MiddleInitial', 'MaritalStatus', 'NumberCars', 'LastName', 'FirstName', 'AddressLine1', 'AddressLine2', 'PostalCode']","['prospect_AgID', 'prospect_NWo', 'prospect_Pho', 'prospect_Inc', 'prospect_Em', 'prospect_CrRa', 'prospect_Ci', 'prospect_Ag', 'prospect_Sta', 'prospect_MiInit', 'prospect_Ge', 'prospect_NumCrCar', 'prospect_NuCa', 'prospect_MarSt', 'prospect_NumChi', 'prospect_OORF', 'prospect_Coun']",0.71,0.55,1.0,N4
11386,TPC-DI,prospect_vertical_30_ec_ev,Joinable,26,"[1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1]","['AgencyID', 'Employer', 'City', 'NumberCreditCards', 'Gender', 'MiddleInitial', 'LastName', 'FirstName', 'AddressLine1', 'AddressLine2', 'PostalCode', 'State', 'Country', 'Phone']","['AgencyID', 'NetWorth', 'Income', 'Employer', 'CreditRating', 'City', 'Age', 'MiddleInitial', 'Gender', 'NumberCreditCards', 'NumberChildren', 'NumberCars', 'MaritalStatus', 'OwnOrRentFlag']",0.8,1.0,0.67,N0
11392,TPC-DI,prospect_both_50_50_ac4_ev,Joinable,26,"[1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0]","['AgencyID', 'NumberCreditCards', 'AddressLine2', 'CreditRating', 'Phone', 'Age', 'MiddleInitial', 'AddressLine1', 'State', 'NumberChildren', 'PostalCode', 'LastName', 'FirstName', 'Gender', 'City', 'Country']","['prospect_AgeID', 'prospect_Pho', 'prospect_PosCo', 'prospect_NeWor', 'prospect_In', 'prospect_AddrL1', 'prospect_AddrL2', 'prospect_Em', 'prospect_CreRat', 'prospect_A', 'prospect_St', 'prospect_MidIni', 'prospect_NuCrCa', 'prospect_NumC', 'prospect_NuChi', 'prospect_MariSta', 'prospect_OwORF']",0.5,0.36,0.8,N4
11414,TPC-DI,prospect_vertical_50_ac3_ev,Joinable,26,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1]","[0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]","['AgencyID', 'Country', 'NetWorth', 'AddressLine2', 'Phone', 'Employer', 'Income', 'NumberCreditCards', 'MiddleInitial', 'OwnOrRentFlag', 'FirstName', 'LastName', 'Gender', 'AddressLine1', 'PostalCode', 'City']","['gncd', 'frstnm', 'phn', 'ntwrth', 'ncm', 'ddrssln2', 'mplr', 'crdtrtng', 'g', 'stt', 'mddlntl', 'nmbrcrdtcrds', 'nmbrchldrn', 'nmbrcrs', 'mrtlstts', 'wnrrntflg', 'cntr']",0.35,0.27,0.5,N3
11416,TPC-DI,prospect_vertical_70_ac5_ev,Joinable,26,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0]","['AgencyID', 'Employer', 'Income', 'NumberCreditCards', 'Phone', 'State', 'City', 'NetWorth', 'CreditRating', 'Gender', 'AddressLine2', 'FirstName', 'PostalCode', 'AddressLine1', 'MiddleInitial', 'LastName', 'Country', 'NumberCars']","['prospect_gncd', 'prospect_frstnm', 'prospect_ntwrth', 'prospect_phn', 'prospect_pstlcd', 'prospect_ncm', 'prospect_ddrssln1', 'prospect_ddrssln2', 'prospect_mplr', 'prospect_crdtrtng', 'prospect_ct', 'prospect_g', 'prospect_stt', 'prospect_gndr', 'prospect_mddlntl', 'prospect_nmbrcrdtcrds', 'prospect_nmbrchldrn', 'prospect_mrtlstts', 'prospect_wnrrntflg']",0.58,0.47,0.78,N5
11441,TPC-DI,prospect_vertical_70_ac2_ev,Joinable,26,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1]","[1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]","['AgencyID', 'OwnOrRentFlag', 'LastName', 'City', 'CreditRating', 'Income', 'MiddleInitial', 'Employer', 'Phone', 'Age', 'Country', 'AddressLine1', 'NumberChildren', 'PostalCode', 'NumberCreditCards', 'FirstName', 'Gender', 'AddressLine2']","['AgID', 'LaNa', 'NeWor', 'Ph', 'Inc', 'PosC', 'AddLi1', 'Empl', 'CreRa', 'Ci', 'A', 'Sta', 'MiInit', 'NumCreCar', 'NuC', 'NumChi', 'MaSt', 'OwORFl', 'Cou']",0.67,0.6,0.75,N2
11453,TPC-DI,prospect_vertical_1_ac1_ev,Joinable,26,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","['AgencyID', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country']","['prospect_AgencyID', 'prospect_Phone', 'prospect_NetWorth', 'prospect_Income', 'prospect_Employer', 'prospect_CreditRating', 'prospect_Age', 'prospect_NumberCreditCards', 'prospect_NumberChildren', 'prospect_NumberCars', 'prospect_MaritalStatus', 'prospect_OwnOrRentFlag']",0.0,0.0,0.0,N1
11459,TPC-DI,prospect_both_50_1_ac3_ev,Joinable,26,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]","['AgencyID', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country']","['gncd', 'phn', 'ntwrth', 'ncm', 'mplr', 'crdtrtng', 'g', 'nmbrcrdtcrds', 'nmbrcrs', 'nmbrchldrn', 'mrtlstts', 'wnrrntflg']",0.0,0.0,0.0,N3
11473,TPC-DI,prospect_vertical_50_ec_ev,Joinable,26,"[1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","['AgencyID', 'FirstName', 'Age', 'MiddleInitial', 'MaritalStatus', 'NumberCreditCards', 'NumberChildren', 'OwnOrRentFlag', 'LastName', 'CreditRating', 'NumberCars', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City']","['AgencyID', 'LastName', 'FirstName', 'Phone', 'NetWorth', 'Income', 'Employer', 'CreditRating', 'Age', 'State', 'MiddleInitial', 'NumberCreditCards', 'NumberChildren', 'NumberCars', 'MaritalStatus', 'OwnOrRentFlag', 'Country']",0.88,1.0,0.79,N0
11484,TPC-DI,prospect_both_50_70_ec_ev,Joinable,26,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1]","[1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['AgencyID', 'Phone', 'NetWorth', 'AddressLine1', 'NumberCreditCards', 'MaritalStatus', 'NumberChildren', 'City', 'FirstName', 'PostalCode', 'Gender', 'Income', 'State', 'Age', 'Country', 'LastName', 'MiddleInitial', 'AddressLine2']","['AgencyID', 'FirstName', 'Phone', 'NetWorth', 'PostalCode', 'Income', 'AddressLine1', 'Employer', 'CreditRating', 'City', 'Age', 'State', 'Gender', 'NumberCreditCards', 'NumberCars', 'NumberChildren', 'MaritalStatus', 'OwnOrRentFlag', 'Country']",0.87,0.93,0.82,N0
11499,TPC-DI,prospect_vertical_30_ac1_ev,Joinable,26,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1]","[0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1]","['AgencyID', 'Country', 'AddressLine1', 'OwnOrRentFlag', 'MaritalStatus', 'Gender', 'LastName', 'FirstName', 'MiddleInitial', 'AddressLine2', 'PostalCode', 'City', 'State', 'Phone']","['prospect_AgencyID', 'prospect_NetWorth', 'prospect_Income', 'prospect_AddressLine1', 'prospect_Employer', 'prospect_CreditRating', 'prospect_Age', 'prospect_Gender', 'prospect_NumberCreditCards', 'prospect_MaritalStatus', 'prospect_NumberCars', 'prospect_NumberChildren', 'prospect_OwnOrRentFlag', 'prospect_Country']",0.77,0.83,0.71,N1
11508,TPC-DI,prospect_vertical_50_ac1_ev,Joinable,26,"[1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1]","[0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['AgencyID', 'NumberCreditCards', 'MiddleInitial', 'Phone', 'OwnOrRentFlag', 'NumberCars', 'AddressLine2', 'LastName', 'City', 'NetWorth', 'State', 'FirstName', 'Gender', 'AddressLine1', 'PostalCode', 'Country']","['prospect_AgencyID', 'prospect_LastName', 'prospect_Phone', 'prospect_NetWorth', 'prospect_Income', 'prospect_AddressLine2', 'prospect_Employer', 'prospect_CreditRating', 'prospect_City', 'prospect_Age', 'prospect_State', 'prospect_MiddleInitial', 'prospect_NumberCreditCards', 'prospect_NumberChildren', 'prospect_NumberCars', 'prospect_MaritalStatus', 'prospect_OwnOrRentFlag']",0.7,0.73,0.67,N1
11527,TPC-DI,prospect_both_50_50_ac2_ev,Joinable,26,"[1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1]","[1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0]","['AgencyID', 'Country', 'NumberCars', 'LastName', 'NumberCreditCards', 'AddressLine1', 'FirstName', 'Gender', 'CreditRating', 'OwnOrRentFlag', 'Income', 'MiddleInitial', 'AddressLine2', 'PostalCode', 'City', 'State']","['AgeID', 'LN', 'FirN', 'Ph', 'NeWo', 'Inc', 'AddLi1', 'Em', 'CreRa', 'A', 'Ge', 'NumCreCa', 'NumC', 'NumChil', 'MarSt', 'OwORFl', 'Coun']",0.53,0.45,0.62,N2
11532,TPC-DI,prospect_both_50_70_ac5_ev,Joinable,26,"[1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1]","[0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","['AgencyID', 'FirstName', 'NetWorth', 'Employer', 'NumberCreditCards', 'LastName', 'AddressLine2', 'MaritalStatus', 'Gender', 'Phone', 'NumberChildren', 'Age', 'City', 'Country', 'NumberCars', 'MiddleInitial', 'AddressLine1', 'PostalCode']","['prospect_gncd', 'prospect_lstnm', 'prospect_frstnm', 'prospect_phn', 'prospect_ntwrth', 'prospect_ncm', 'prospect_ddrssln2', 'prospect_mplr', 'prospect_crdtrtng', 'prospect_ct', 'prospect_g', 'prospect_stt', 'prospect_gndr', 'prospect_nmbrcrdtcrds', 'prospect_nmbrcrs', 'prospect_nmbrchldrn', 'prospect_mrtlstts', 'prospect_wnrrntflg', 'prospect_cntr']",0.48,0.33,0.83,N5
11542,TPC-DI,prospect_vertical_30_ac3_ev,Joinable,26,"[1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]","[0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]","['AgencyID', 'AddressLine1', 'NumberCars', 'OwnOrRentFlag', 'Gender', 'LastName', 'FirstName', 'MiddleInitial', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country', 'Phone']","['gncd', 'lstnm', 'ntwrth', 'ncm', 'ddrssln1', 'mplr', 'crdtrtng', 'g', 'gndr', 'nmbrcrdtcrds', 'nmbrchldrn', 'nmbrcrs', 'mrtlstts', 'wnrrntflg']",0.22,0.17,0.33,N3
11553,TPC-DI,prospect_both_50_50_ac3_ev,Joinable,26,"[1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1]","[0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","['AgencyID', 'MaritalStatus', 'Age', 'Income', 'CreditRating', 'AddressLine1', 'Phone', 'Gender', 'NumberChildren', 'City', 'Country', 'LastName', 'FirstName', 'MiddleInitial', 'AddressLine2', 'PostalCode']","['gncd', 'phn', 'ntwrth', 'ncm', 'ddrssln1', 'mplr', 'crdtrtng', 'ct', 'g', 'stt', 'gndr', 'nmbrcrdtcrds', 'nmbrchldrn', 'nmbrcrs', 'mrtlstts', 'wnrrntflg', 'cntr']",0.44,0.36,0.57,N3
11584,TPC-DI,prospect_vertical_1_ac4_ev,Joinable,26,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","['AgencyID', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country']","['prospect_AgID', 'prospect_Ph', 'prospect_NWor', 'prospect_In', 'prospect_Empl', 'prospect_CreRa', 'prospect_Ag', 'prospect_NuCreCar', 'prospect_NuCh', 'prospect_NuCa', 'prospect_MariSta', 'prospect_OwOReFl']",0.67,1.0,0.5,N4
11593,TPC-DI,prospect_both_50_50_ac1_ev,Joinable,26,"[1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1]","[0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0]","['AgencyID', 'Country', 'Gender', 'FirstName', 'MiddleInitial', 'Income', 'Age', 'LastName', 'State', 'NumberCreditCards', 'NetWorth', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'Phone']","['prospect_AgencyID', 'prospect_LastName', 'prospect_FirstName', 'prospect_NetWorth', 'prospect_Income', 'prospect_Employer', 'prospect_CreditRating', 'prospect_Age', 'prospect_State', 'prospect_MiddleInitial', 'prospect_Gender', 'prospect_NumberCreditCards', 'prospect_NumberChildren', 'prospect_NumberCars', 'prospect_MaritalStatus', 'prospect_OwnOrRentFlag', 'prospect_Country']",0.76,0.73,0.8,N1
11605,TPC-DI,prospect_both_50_30_ac1_ev,Joinable,26,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0]","['AgencyID', 'OwnOrRentFlag', 'MaritalStatus', 'CreditRating', 'Country', 'MiddleInitial', 'LastName', 'FirstName', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State']","['prospect_AgencyID', 'prospect_Phone', 'prospect_NetWorth', 'prospect_Income', 'prospect_Employer', 'prospect_CreditRating', 'prospect_Age', 'prospect_MiddleInitial', 'prospect_NumberCreditCards', 'prospect_NumberCars', 'prospect_NumberChildren', 'prospect_MaritalStatus', 'prospect_OwnOrRentFlag', 'prospect_Country']",0.46,0.5,0.43,N1
11620,TPC-DI,prospect_both_50_70_ac3_ev,Joinable,26,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1]","[0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]","['AgencyID', 'CreditRating', 'City', 'Gender', 'PostalCode', 'Phone', 'NumberChildren', 'OwnOrRentFlag', 'Income', 'AddressLine1', 'LastName', 'MiddleInitial', 'Employer', 'Country', 'NetWorth', 'FirstName', 'AddressLine2', 'State']","['gncd', 'lstnm', 'phn', 'ntwrth', 'ncm', 'pstlcd', 'ddrssln1', 'mplr', 'crdtrtng', 'ct', 'g', 'mddlntl', 'gndr', 'nmbrcrdtcrds', 'nmbrchldrn', 'nmbrcrs', 'mrtlstts', 'wnrrntflg', 'cntr']",0.52,0.4,0.75,N3
11642,TPC-DI,prospect_both_50_1_ac4_ev,Joinable,26,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['AgencyID', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country']","['prospect_AgeID', 'prospect_Pho', 'prospect_Inc', 'prospect_NWo', 'prospect_Em', 'prospect_CreRat', 'prospect_A', 'prospect_NumCreCa', 'prospect_NumC', 'prospect_NumChi', 'prospect_MarSta', 'prospect_OwOReF']",0.0,0.0,0.0,N4
11659,TPC-DI,prospect_vertical_50_ac5_ev,Joinable,26,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1]","[0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0]","['AgencyID', 'NumberCars', 'AddressLine2', 'Income', 'Age', 'City', 'Country', 'NumberCreditCards', 'CreditRating', 'NetWorth', 'Phone', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1']","['prospect_gncd', 'prospect_phn', 'prospect_ntwrth', 'prospect_ncm', 'prospect_pstlcd', 'prospect_ddrssln2', 'prospect_mplr', 'prospect_crdtrtng', 'prospect_ct', 'prospect_g', 'prospect_stt', 'prospect_nmbrcrdtcrds', 'prospect_nmbrchldrn', 'prospect_nmbrcrs', 'prospect_mrtlstts', 'prospect_wnrrntflg', 'prospect_cntr']",0.5,0.36,0.8,N5
11670,TPC-DI,prospect_both_50_30_ec_ev,Joinable,26,"[1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0]","['AgencyID', 'Phone', 'CreditRating', 'FirstName', 'Age', 'OwnOrRentFlag', 'LastName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State']","['AgencyID', 'FirstName', 'Phone', 'NetWorth', 'Income', 'Employer', 'CreditRating', 'Age', 'NumberCreditCards', 'NumberChildren', 'NumberCars', 'MaritalStatus', 'OwnOrRentFlag', 'Country']",0.86,1.0,0.75,N0
